x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s,t=5.00e+00s,t=1.00e+01s
0.000000000000000000e+00,9.999999999999997500e+14,9.999999999999997500e+14,9.999999999999993750e+14,9.999999999999997500e+14,9.999999999999996250e+14,9.999999999999995000e+14
7.812500000000000163e-06,-1.107079524765777344e+14,6.481456339198322266e+12,2.247449153583922812e+14,4.011767089422231875e+14,7.088711674572701250e+14,7.916709619570203750e+14
1.562500000000000033e-05,6.990993691107559570e+12,-2.160429090924032031e+13,-1.185689600046116016e+13,7.908096605229557812e+13,4.544226293448021250e+14,5.971355348103311250e+14
2.343750000000000049e-05,1.155969179794312256e+12,5.451562857264966797e+12,-4.759853368576651367e+12,-9.750808455198359375e+11,2.603782381108047188e+14,4.275476032405833125e+14
3.125000000000000065e-05,-6.585219024515465088e+11,-9.303130479210228271e+11,1.225697254348989502e+12,-2.203571758204919434e+12,1.317185651573369375e+14,2.895943119901391250e+14
3.906250000000000081e-05,2.025480879580604248e+11,1.079968963996125031e+11,-1.105969661362999268e+11,1.884563518065054016e+11,5.798714789325813281e+13,1.849557708233775938e+14
4.687500000000000098e-05,-5.212362014652886200e+10,-1.545750600984223604e+09,-1.747270015538151550e+10,5.371669090150608063e+10,2.180170969366679297e+13,1.110238212987168125e+14
5.468750000000000114e-05,1.230222954763172150e+10,-3.874593997943742275e+09,9.514648197340023041e+09,-1.608322939508665085e+10,6.808826037060366211e+12,6.243100566256235156e+13
6.250000000000000130e-05,-2.758536886433494091e+09,1.542262047620880604e+09,-2.248221601304346085e+09,1.140858646136257172e+09,1.684114605978912109e+12,3.277132479045363672e+13
7.031250000000000824e-05,5.979081856936540604e+08,-4.335406666429560184e+08,3.353269527459199429e+08,3.895391070617129803e+08,2.972896835397367554e+11,1.599589574364189844e+13
7.812500000000000163e-05,-1.265038329123401046e+08,1.041584544277164042e+08,-1.751214074752483144e+07,-1.447537686281063557e+08,2.528867198585814667e+10,7.227753989767572266e+12
8.593749999999999501e-05,2.628624028231222928e+07,-2.258958540098590776e+07,-8.484634772460354492e+06,2.237118565091563761e+07,-3.491628088994531155e+09,3.007200625740602539e+12
9.375000000000000195e-05,-5.385961591504502110e+06,4.504201351618877612e+06,3.823691068548923358e+06,-1.236358744668626168e+05,-1.368207991776553154e+09,1.144490709382930664e+12
1.015625000000000089e-04,1.091270987836599583e+06,-8.250763183982761111e+05,-1.024518110478032380e+06,-9.378311658577331109e+05,-7.868577110208536685e+07,3.950315757212271118e+11
1.093750000000000023e-04,-2.190913758421592356e+05,1.358357565789289074e+05,2.104084609286343039e+05,2.942473684831402497e+05,3.678498423743142188e+07,1.222218190261417999e+11
1.171874999999999957e-04,4.365226149718705710e+04,-1.872386761340506928e+04,-3.327764730224676896e+04,-5.179117632142488583e+04,5.796581132693074644e+06,3.332523475182700348e+10
1.250000000000000026e-04,-8.641482566368566040e+03,1.585606991175547137e+03,3.174189781621757447e+03,3.711866203453679191e+03,-9.563272591903493740e+05,7.792435704638219833e+09
1.328125000000000095e-04,1.701261591633613989e+03,1.971706049011273763e+02,2.931363996231278293e+02,1.097623913198667196e+03,-2.456702422751132399e+05,1.485512378777950525e+09
1.406250000000000165e-04,-3.333312430814376626e+02,-1.562971198756946194e+02,-2.605217728431817932e+02,-5.422161103278335759e+02,3.164391876213362048e+04,2.040964460572094023e+08
1.484374999999999963e-04,6.503744357750031213e+01,5.692450233966521012e+01,8.919862013427820102e+01,1.378078408225341036e+02,9.188932650913722682e+03,1.078600558135225996e+07
1.562500000000000033e-04,-1.264293081933767304e+01,-1.687572120712686541e+01,-2.336948890179965943e+01,-2.364471165855681889e+01,-1.423854050406978331e+03,-3.447440512926269788e+06
1.640625000000000102e-04,2.449669236062813393e+00,4.525415278653917461e+00,5.201759942152440530e+00,2.094238767319548611e+00,-3.047632111313837981e+02,-1.098907749216553988e+06
1.718749999999999900e-04,-4.732523670146278616e-01,-1.141875844929959527e+00,-1.003992628364175355e+00,3.356250575980615491e-01,7.340342530086951456e+01,-1.169992491880146408e+05
1.796874999999999970e-04,9.118669677737793744e-02,2.763965263237235237e-01,1.631572929518146087e-01,-2.196346645496304040e-01,7.169307586292723578e+00,1.335285081247741800e+04
1.875000000000000039e-04,-1.752802240609632051e-02,-6.489080441234516827e-02,-1.932125528282575139e-02,6.543613678171195103e-02,-3.595199437445053103e+00,6.104011950103345043e+03
1.953125000000000108e-04,3.361952398443117124e-03,1.487932422860134725e-02,2.349842146742979628e-04,-1.412983225628894855e-02,5.167958774426451712e-02,4.924028248501179519e+02
2.031250000000000178e-04,-6.435607058083372837e-04,-3.347863953943812799e-03,8.119506477753969925e-04,2.248600682307875034e-03,1.441774845147746065e-01,-1.398111463727466059e+02
2.109374999999999976e-04,1.229698463971147027e-04,7.416265625804439312e-04,-3.452963875411619037e-04,-1.892575778340350090e-04,-1.952310445057675245e-02,-3.428999491922178322e+01
