x,t=steady
-5.000000000000000000e+01,1.000000000000000444e+00
-5.000000000000000000e+01,1.000000000000000444e+00
-5.000000000000000000e+01,1.000000000000000666e+00
-5.000000000000000000e+01,1.000000000000000444e+00
-5.000000000000000000e+01,1.000000000000000000e+00
-5.000000000000000000e+01,1.000000000000000222e+00
-5.000000000000000000e+01,1.000000000000000222e+00
-5.000000000000000000e+01,1.000000000000000444e+00
-5.000000000000000000e+01,9.999999999999998890e-01
-5.000000000000000000e+01,9.999999999999996669e-01
-5.000000000000000000e+01,1.000000000000000444e+00
-5.000000000000000000e+01,1.000000000000000444e+00
-5.000000000000000000e+01,1.000000000000000888e+00
-5.000000000000000000e+01,9.999999999999998890e-01
-5.000000000000000000e+01,1.000000000000000222e+00
-5.000000000000000000e+01,1.000000000000000666e+00
-4.343081658871943063e+01,9.452568049059965061e-01
-4.333333333333323623e+01,9.444444444444444198e-01
-4.333333333333323623e+01,9.444444444444435316e-01
-4.278303763544765559e+01,9.398586469620645589e-01
-4.247926898610067781e+01,9.373272415508397959e-01
-4.236157580940228229e+01,9.363464650783531740e-01
-4.235997232819914160e+01,9.363331027349929281e-01
-4.211911929318431191e+01,9.343259941098699395e-01
-4.207217454486426078e+01,9.339347878738690767e-01
-4.198866220248949332e+01,9.332388516874133844e-01
-4.176875737516022724e+01,9.314063114596690118e-01
-4.176242014055113572e+01,9.313535011712604783e-01
-4.163545906194021740e+01,9.302954921828363588e-01
-4.150902154506071895e+01,9.292418462088398723e-01
-4.144654088252027435e+01,9.287211740210025157e-01
-4.123692548390062029e+01,9.269743790325063459e-01
-3.666666666666647245e+01,8.888888888888869522e-01
-3.666666666666647245e+01,8.888888888888876183e-01
-3.586672152124634749e+01,8.822226793437200065e-01
-3.565125032105988367e+01,8.804270860088325712e-01
-3.483911421983346912e+01,8.736592851652793534e-01
-3.482086128792846580e+01,8.735071773994033117e-01
-3.435008929943307265e+01,8.695840774952769969e-01
-3.428907381021838319e+01,8.690756150851537409e-01
-3.423965397588473536e+01,8.686637831323739123e-01
-3.375755610688102593e+01,8.646463008906758452e-01
-3.361563693922228424e+01,8.634636411601864792e-01
-3.338137688842135020e+01,8.615114740701789176e-01
-3.333493881764810141e+01,8.611244901470684887e-01
-3.306133285511775455e+01,8.588444404593150727e-01
-2.999999999999971223e+01,8.333333333333321491e-01
-2.999999999999971223e+01,8.333333333333317050e-01
-2.858036092384013926e+01,8.215030076986685748e-01
-2.788492791971095741e+01,8.157077326642588888e-01
-2.738820334515378718e+01,8.115683612096147304e-01
-2.735102511286338256e+01,8.112585426071946548e-01
-2.654851471577022792e+01,8.045709559647521436e-01
-2.604650278176495348e+01,8.003875231813747382e-01
-2.591403180643971282e+01,7.992835983869988059e-01
-2.581012224002711264e+01,7.984176853335608337e-01
-2.562938998740569119e+01,7.969115832283808487e-01
-2.485025116942218304e+01,7.904187597451859393e-01
-2.469516117269314748e+01,7.891263431057773392e-01
-2.333333333333295201e+01,7.777777777777745705e-01
-2.333333333333295201e+01,7.777777777777754586e-01
-2.152067892070604671e+01,7.626723243392176110e-01
-2.099198732928676137e+01,7.582665610773900999e-01
-1.985177780711550000e+01,7.487648150592960405e-01
-1.959161049190796788e+01,7.465967540992340945e-01
-1.928071531355644552e+01,7.440059609463045565e-01
-1.827299168723913780e+01,7.356082640603264222e-01
-1.722039549130959557e+01,7.268366290942466224e-01
-1.707037574249306289e+01,7.255864645207759089e-01
-1.666666666666629482e+01,7.222222222222197674e-01
-1.666666666666629482e+01,7.222222222222189902e-01
-1.657675568224852825e+01,7.214729640187379500e-01
-1.585716524939927830e+01,7.154763770783280075e-01
-1.445210314446321576e+01,7.037675262038608492e-01
-1.413196527177279371e+01,7.010997105981072730e-01
-1.223872811145144368e+01,6.853227342620951124e-01
-1.173779886124465399e+01,6.811483238437057164e-01
-1.152926867922478671e+01,6.794105723268742958e-01
-9.999999999999658939e+00,6.666666666666637431e-01
-9.999999999999658939e+00,6.666666666666639651e-01
-9.801126814917010321e+00,6.650093901243088190e-01
-8.141651270136712526e+00,6.511804272511396707e-01
-7.435349928845269574e+00,6.452945827403777646e-01
-7.372432706363564847e+00,6.447702725530297663e-01
-7.107549225349823807e+00,6.425629102112487834e-01
-6.831139098115211361e+00,6.402594924842934798e-01
-4.547282053673940894e+00,6.212273504472828334e-01
-3.921583936746668719e+00,6.160131994728892391e-01
-3.333333333333008852e+00,6.111111111111088290e-01
-3.333333333333008852e+00,6.111111111111086069e-01
-3.162332234868028724e+00,6.096861019572340501e-01
-1.139020176587882238e+00,5.928251681382321614e-01
-2.855510056408225306e-01,5.857129250470066717e-01
-5.790347603495485385e-02,5.838158623002915881e-01
1.810376963626991187e-01,5.818246858636445529e-01
3.686281768581746165e-01,5.802614318595157306e-01
2.815174765977977778e+00,5.598735436168502666e-01
3.191174124277308177e+00,5.567402156310218286e-01
3.333333333333619919e+00,5.555555555555531377e-01
3.333333333333619919e+00,5.555555555555531377e-01
3.676471286151762108e+00,5.526960726154021009e-01
3.833008187967616553e+00,5.513915984336029696e-01
5.490255594965592678e+00,5.375812033752871422e-01
6.794769201011681581e+00,5.267102566582355649e-01
6.967383073859227949e+00,5.252718077178404332e-01
7.551560433482864099e+00,5.204036630543090736e-01
8.202355654494834170e+00,5.149803695458766706e-01
1.000000000000046185e+01,4.999999999999960587e-01
1.000000000000046185e+01,4.999999999999960032e-01
1.059133587979077440e+01,4.950722010017429286e-01
1.088894606415940380e+01,4.925921161320047093e-01
1.115216666377404131e+01,4.903986111352163779e-01
1.227434497764099675e+01,4.810471251863252529e-01
1.332325949233079676e+01,4.723061708972434714e-01
1.389394895714754874e+01,4.675504253571029500e-01
1.397844655552952098e+01,4.668462787039205364e-01
1.417130241267926039e+01,4.652391465610062338e-01
1.597320887962438363e+01,4.502232593364627333e-01
1.631171654598130516e+01,4.474023621168224940e-01
1.666666666666719721e+01,4.444444444444402564e-01
1.666666666666719721e+01,4.444444444444395903e-01
1.854248618735172371e+01,4.288126151054018620e-01
1.860527395542787943e+01,4.282893837047675456e-01
2.085759797685346939e+01,4.095200168595543588e-01
2.100649673279493612e+01,4.082791938933754139e-01
2.101823647841731812e+01,4.081813626798557748e-01
2.110280612242036824e+01,4.074766156464968425e-01
2.168843826360287252e+01,4.025963478033093845e-01
2.264594377766721323e+01,3.946171351861063603e-01
2.298435254036959208e+01,3.917970621635867290e-01
2.333333333333376913e+01,3.888888888888854534e-01
2.333333333333376913e+01,3.888888888888845652e-01
2.446856512604387746e+01,3.794286239496336699e-01
2.456527240030855808e+01,3.786227299974287419e-01
2.632006409987936379e+01,3.639994658343386758e-01
2.633208955484112579e+01,3.638992537096564228e-01
2.812001787352911819e+01,3.489998510539240595e-01
2.815310535667329717e+01,3.487241220277220166e-01
3.000000000000031264e+01,3.333333333333309279e-01
3.000000000000031264e+01,3.333333333333303172e-01
3.047666837099550818e+01,3.293610969083702877e-01
3.062700801738919765e+01,3.281082665217564531e-01
3.090681311086261829e+01,3.257765574094780292e-01
3.115525886130118849e+01,3.237061761558232553e-01
3.183652967198448991e+01,3.180289194001282849e-01
3.194240732468833599e+01,3.171466056275973888e-01
3.297804638089508700e+01,3.085162801592076787e-01
3.297924085366370406e+01,3.085063262194686073e-01
3.414754575960696314e+01,2.987704520032752886e-01
3.417999070247388715e+01,2.985000774793835077e-01
